period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-11-29T15,NY,New York,WAT,Hydro,2952,megawatthours
2024-11-29T14,NY,New York,WAT,Hydro,2911,megawatthours
2024-11-29T13,NY,New York,WAT,Hydro,2902,megawatthours
2024-11-29T12,NY,New York,WAT,Hydro,2451,megawatthours
2024-11-29T11,NY,New York,WAT,Hydro,2231,megawatthours
2024-11-29T10,NY,New York,WAT,Hydro,2149,megawatthours
2024-11-29T09,NY,New York,WAT,Hydro,2145,megawatthours
2024-11-29T08,NY,New York,WAT,Hydro,2170,megawatthours
2024-11-29T07,NY,New York,WAT,Hydro,2153,megawatthours
2024-11-29T06,NY,New York,WAT,Hydro,2209,megawatthours
2024-11-29T05,NY,New York,WAT,Hydro,2367,megawatthours
2024-11-29T04,NY,New York,WAT,Hydro,2941,megawatthours
2024-11-29T03,NY,New York,WAT,Hydro,3139,megawatthours
2024-11-29T02,NY,New York,WAT,Hydro,3259,megawatthours
2024-11-29T01,NY,New York,WAT,Hydro,3266,megawatthours
2024-11-29T00,NY,New York,WAT,Hydro,3156,megawatthours
2024-11-28T23,NY,New York,WAT,Hydro,3286,megawatthours
2024-11-28T22,NY,New York,WAT,Hydro,3149,megawatthours
2024-11-28T21,NY,New York,WAT,Hydro,3316,megawatthours
2024-11-28T20,NY,New York,WAT,Hydro,3199,megawatthours
2024-11-28T19,NY,New York,WAT,Hydro,3350,megawatthours
2024-11-28T18,NY,New York,WAT,Hydro,3468,megawatthours
2024-11-28T17,NY,New York,WAT,Hydro,3559,megawatthours
2024-11-28T16,NY,New York,WAT,Hydro,3490,megawatthours
2024-11-28T15,NY,New York,WAT,Hydro,3377,megawatthours
2024-11-28T14,NY,New York,WAT,Hydro,3236,megawatthours
2024-11-28T13,NY,New York,WAT,Hydro,2977,megawatthours
2024-11-28T12,NY,New York,WAT,Hydro,2418,megawatthours
2024-11-28T11,NY,New York,WAT,Hydro,2084,megawatthours
2024-11-28T10,NY,New York,WAT,Hydro,2163,megawatthours
2024-11-28T09,NY,New York,WAT,Hydro,2022,megawatthours
2024-11-28T08,NY,New York,WAT,Hydro,2123,megawatthours
2024-11-28T07,NY,New York,WAT,Hydro,2190,megawatthours
2024-11-28T06,NY,New York,WAT,Hydro,2305,megawatthours
2024-11-28T05,NY,New York,WAT,Hydro,2333,megawatthours
2024-11-28T04,NY,New York,WAT,Hydro,2978,megawatthours
2024-11-28T03,NY,New York,WAT,Hydro,3419,megawatthours
2024-11-28T02,NY,New York,WAT,Hydro,3438,megawatthours
2024-11-28T01,NY,New York,WAT,Hydro,3403,megawatthours
2024-11-28T00,NY,New York,WAT,Hydro,3703,megawatthours
2024-11-27T23,NY,New York,WAT,Hydro,3893,megawatthours
2024-11-27T22,NY,New York,WAT,Hydro,3801,megawatthours
2024-11-27T21,NY,New York,WAT,Hydro,3538,megawatthours
2024-11-27T20,NY,New York,WAT,Hydro,3276,megawatthours
2024-11-27T19,NY,New York,WAT,Hydro,3152,megawatthours
2024-11-27T18,NY,New York,WAT,Hydro,3158,megawatthours
2024-11-27T17,NY,New York,WAT,Hydro,3244,megawatthours
2024-11-27T16,NY,New York,WAT,Hydro,3188,megawatthours
2024-11-27T15,NY,New York,WAT,Hydro,3172,megawatthours
2024-11-27T14,NY,New York,WAT,Hydro,3231,megawatthours
2024-11-27T13,NY,New York,WAT,Hydro,3247,megawatthours
2024-11-27T12,NY,New York,WAT,Hydro,2807,megawatthours
2024-11-27T11,NY,New York,WAT,Hydro,2309,megawatthours
2024-11-27T10,NY,New York,WAT,Hydro,2183,megawatthours
2024-11-27T09,NY,New York,WAT,Hydro,2136,megawatthours
2024-11-27T08,NY,New York,WAT,Hydro,2127,megawatthours
2024-11-27T07,NY,New York,WAT,Hydro,1934,megawatthours
2024-11-27T06,NY,New York,WAT,Hydro,2183,megawatthours
2024-11-27T05,NY,New York,WAT,Hydro,2303,megawatthours
2024-11-27T04,NY,New York,WAT,Hydro,2852,megawatthours
2024-11-27T03,NY,New York,WAT,Hydro,3311,megawatthours
2024-11-27T02,NY,New York,WAT,Hydro,3399,megawatthours
2024-11-27T01,NY,New York,WAT,Hydro,3369,megawatthours
2024-11-27T00,NY,New York,WAT,Hydro,3509,megawatthours
2024-11-26T23,NY,New York,WAT,Hydro,3597,megawatthours
2024-11-26T22,NY,New York,WAT,Hydro,3436,megawatthours
2024-11-26T21,NY,New York,WAT,Hydro,3314,megawatthours
2024-11-26T20,NY,New York,WAT,Hydro,3284,megawatthours
2024-11-26T19,NY,New York,WAT,Hydro,3150,megawatthours
2024-11-26T18,NY,New York,WAT,Hydro,3051,megawatthours
2024-11-26T17,NY,New York,WAT,Hydro,3197,megawatthours
2024-11-26T16,NY,New York,WAT,Hydro,3298,megawatthours
2024-11-26T15,NY,New York,WAT,Hydro,3346,megawatthours
2024-11-26T14,NY,New York,WAT,Hydro,3406,megawatthours
2024-11-26T13,NY,New York,WAT,Hydro,3211,megawatthours
2024-11-26T12,NY,New York,WAT,Hydro,2457,megawatthours
2024-11-26T11,NY,New York,WAT,Hydro,2008,megawatthours
2024-11-26T10,NY,New York,WAT,Hydro,1838,megawatthours
2024-11-26T09,NY,New York,WAT,Hydro,1878,megawatthours
2024-11-26T08,NY,New York,WAT,Hydro,1852,megawatthours
2024-11-26T07,NY,New York,WAT,Hydro,1969,megawatthours
2024-11-26T06,NY,New York,WAT,Hydro,2096,megawatthours
2024-11-26T05,NY,New York,WAT,Hydro,2136,megawatthours
2024-11-26T04,NY,New York,WAT,Hydro,2796,megawatthours
2024-11-26T03,NY,New York,WAT,Hydro,3063,megawatthours
2024-11-26T02,NY,New York,WAT,Hydro,3219,megawatthours
2024-11-26T01,NY,New York,WAT,Hydro,3245,megawatthours
2024-11-26T00,NY,New York,WAT,Hydro,3544,megawatthours
2024-11-25T23,NY,New York,WAT,Hydro,3660,megawatthours
2024-11-25T22,NY,New York,WAT,Hydro,3338,megawatthours
2024-11-25T21,NY,New York,WAT,Hydro,3222,megawatthours
2024-11-25T20,NY,New York,WAT,Hydro,3153,megawatthours
2024-11-25T19,NY,New York,WAT,Hydro,2999,megawatthours
2024-11-25T18,NY,New York,WAT,Hydro,2924,megawatthours
2024-11-25T17,NY,New York,WAT,Hydro,2917,megawatthours
2024-11-25T16,NY,New York,WAT,Hydro,2931,megawatthours
2024-11-25T15,NY,New York,WAT,Hydro,2987,megawatthours
2024-11-25T14,NY,New York,WAT,Hydro,3123,megawatthours
2024-11-25T13,NY,New York,WAT,Hydro,3490,megawatthours
2024-11-25T12,NY,New York,WAT,Hydro,3147,megawatthours
2024-11-25T11,NY,New York,WAT,Hydro,2341,megawatthours
2024-11-25T10,NY,New York,WAT,Hydro,2082,megawatthours
2024-11-25T09,NY,New York,WAT,Hydro,2092,megawatthours
2024-11-25T08,NY,New York,WAT,Hydro,2097,megawatthours
2024-11-25T07,NY,New York,WAT,Hydro,2082,megawatthours
2024-11-25T06,NY,New York,WAT,Hydro,2141,megawatthours
2024-11-25T05,NY,New York,WAT,Hydro,2242,megawatthours
2024-11-25T04,NY,New York,WAT,Hydro,2772,megawatthours
2024-11-25T03,NY,New York,WAT,Hydro,3379,megawatthours
2024-11-25T02,NY,New York,WAT,Hydro,3405,megawatthours
2024-11-25T01,NY,New York,WAT,Hydro,3494,megawatthours
2024-11-25T00,NY,New York,WAT,Hydro,3528,megawatthours
2024-11-24T23,NY,New York,WAT,Hydro,3487,megawatthours
2024-11-24T22,NY,New York,WAT,Hydro,3323,megawatthours
2024-11-24T21,NY,New York,WAT,Hydro,3348,megawatthours
2024-11-24T20,NY,New York,WAT,Hydro,3258,megawatthours
2024-11-24T19,NY,New York,WAT,Hydro,3256,megawatthours
2024-11-24T18,NY,New York,WAT,Hydro,3154,megawatthours
2024-11-24T17,NY,New York,WAT,Hydro,3152,megawatthours
2024-11-24T16,NY,New York,WAT,Hydro,3135,megawatthours
2024-11-24T15,NY,New York,WAT,Hydro,3203,megawatthours
2024-11-24T14,NY,New York,WAT,Hydro,2979,megawatthours
2024-11-24T13,NY,New York,WAT,Hydro,2763,megawatthours
2024-11-24T12,NY,New York,WAT,Hydro,2225,megawatthours
2024-11-24T11,NY,New York,WAT,Hydro,2318,megawatthours
2024-11-24T10,NY,New York,WAT,Hydro,2133,megawatthours
2024-11-24T09,NY,New York,WAT,Hydro,2085,megawatthours
2024-11-24T08,NY,New York,WAT,Hydro,2027,megawatthours
2024-11-24T07,NY,New York,WAT,Hydro,1957,megawatthours
2024-11-24T06,NY,New York,WAT,Hydro,1951,megawatthours
2024-11-24T05,NY,New York,WAT,Hydro,2200,megawatthours
2024-11-24T04,NY,New York,WAT,Hydro,2614,megawatthours
2024-11-24T03,NY,New York,WAT,Hydro,2734,megawatthours
2024-11-24T02,NY,New York,WAT,Hydro,2329,megawatthours
2024-11-24T01,NY,New York,WAT,Hydro,2948,megawatthours
2024-11-24T00,NY,New York,WAT,Hydro,3202,megawatthours
2024-11-23T23,NY,New York,WAT,Hydro,3376,megawatthours
2024-11-23T22,NY,New York,WAT,Hydro,3024,megawatthours
2024-11-23T21,NY,New York,WAT,Hydro,3012,megawatthours
2024-11-23T20,NY,New York,WAT,Hydro,3008,megawatthours
2024-11-23T19,NY,New York,WAT,Hydro,2993,megawatthours
2024-11-23T18,NY,New York,WAT,Hydro,3099,megawatthours
2024-11-23T17,NY,New York,WAT,Hydro,3047,megawatthours
2024-11-23T16,NY,New York,WAT,Hydro,3059,megawatthours
2024-11-23T15,NY,New York,WAT,Hydro,3119,megawatthours
2024-11-23T14,NY,New York,WAT,Hydro,3012,megawatthours
2024-11-23T13,NY,New York,WAT,Hydro,2801,megawatthours
2024-11-23T12,NY,New York,WAT,Hydro,2321,megawatthours
2024-11-23T11,NY,New York,WAT,Hydro,2142,megawatthours
2024-11-23T10,NY,New York,WAT,Hydro,2020,megawatthours
2024-11-23T09,NY,New York,WAT,Hydro,1987,megawatthours
2024-11-23T08,NY,New York,WAT,Hydro,2035,megawatthours
2024-11-23T07,NY,New York,WAT,Hydro,2021,megawatthours
2024-11-23T06,NY,New York,WAT,Hydro,2106,megawatthours
2024-11-23T05,NY,New York,WAT,Hydro,2260,megawatthours
2024-11-23T04,NY,New York,WAT,Hydro,2766,megawatthours
2024-11-23T03,NY,New York,WAT,Hydro,3116,megawatthours
2024-11-23T02,NY,New York,WAT,Hydro,3206,megawatthours
2024-11-23T01,NY,New York,WAT,Hydro,3455,megawatthours
2024-11-23T00,NY,New York,WAT,Hydro,3590,megawatthours
2024-11-22T23,NY,New York,WAT,Hydro,3791,megawatthours
2024-11-22T22,NY,New York,WAT,Hydro,3478,megawatthours
2024-11-22T21,NY,New York,WAT,Hydro,3303,megawatthours
2024-11-22T20,NY,New York,WAT,Hydro,3234,megawatthours
2024-11-22T19,NY,New York,WAT,Hydro,3148,megawatthours
2024-11-22T18,NY,New York,WAT,Hydro,3112,megawatthours
2024-11-22T17,NY,New York,WAT,Hydro,3121,megawatthours
2024-11-22T16,NY,New York,WAT,Hydro,3162,megawatthours
2024-11-22T15,NY,New York,WAT,Hydro,3050,megawatthours
2024-11-22T14,NY,New York,WAT,Hydro,3045,megawatthours
2024-11-22T13,NY,New York,WAT,Hydro,3040,megawatthours
2024-11-22T12,NY,New York,WAT,Hydro,2446,megawatthours
2024-11-22T11,NY,New York,WAT,Hydro,2054,megawatthours
2024-11-22T10,NY,New York,WAT,Hydro,1875,megawatthours
2024-11-22T09,NY,New York,WAT,Hydro,1887,megawatthours
2024-11-22T08,NY,New York,WAT,Hydro,1885,megawatthours
2024-11-22T07,NY,New York,WAT,Hydro,1859,megawatthours
2024-11-22T06,NY,New York,WAT,Hydro,1978,megawatthours
2024-11-22T05,NY,New York,WAT,Hydro,2159,megawatthours
2024-11-22T04,NY,New York,WAT,Hydro,2742,megawatthours
2024-11-22T03,NY,New York,WAT,Hydro,3080,megawatthours
2024-11-22T02,NY,New York,WAT,Hydro,3306,megawatthours
2024-11-22T01,NY,New York,WAT,Hydro,3408,megawatthours
2024-11-22T00,NY,New York,WAT,Hydro,3473,megawatthours
2024-11-21T23,NY,New York,WAT,Hydro,3615,megawatthours
2024-11-21T22,NY,New York,WAT,Hydro,3371,megawatthours
2024-11-21T21,NY,New York,WAT,Hydro,3154,megawatthours
2024-11-21T20,NY,New York,WAT,Hydro,3290,megawatthours
2024-11-21T19,NY,New York,WAT,Hydro,3110,megawatthours
2024-11-21T18,NY,New York,WAT,Hydro,3122,megawatthours
2024-11-21T17,NY,New York,WAT,Hydro,3087,megawatthours
2024-11-21T16,NY,New York,WAT,Hydro,3050,megawatthours
2024-11-21T15,NY,New York,WAT,Hydro,2968,megawatthours
2024-11-21T14,NY,New York,WAT,Hydro,3010,megawatthours
2024-11-21T13,NY,New York,WAT,Hydro,3062,megawatthours
2024-11-21T12,NY,New York,WAT,Hydro,2539,megawatthours
2024-11-21T11,NY,New York,WAT,Hydro,2112,megawatthours
2024-11-21T10,NY,New York,WAT,Hydro,2163,megawatthours
2024-11-21T09,NY,New York,WAT,Hydro,2079,megawatthours
2024-11-21T08,NY,New York,WAT,Hydro,2064,megawatthours
2024-11-21T07,NY,New York,WAT,Hydro,2120,megawatthours
2024-11-21T06,NY,New York,WAT,Hydro,2034,megawatthours
2024-11-21T05,NY,New York,WAT,Hydro,2001,megawatthours
2024-11-21T04,NY,New York,WAT,Hydro,2425,megawatthours
2024-11-21T03,NY,New York,WAT,Hydro,2745,megawatthours
2024-11-21T02,NY,New York,WAT,Hydro,2734,megawatthours
2024-11-21T01,NY,New York,WAT,Hydro,3064,megawatthours
2024-11-21T00,NY,New York,WAT,Hydro,3165,megawatthours
2024-11-20T23,NY,New York,WAT,Hydro,3194,megawatthours
2024-11-20T22,NY,New York,WAT,Hydro,3138,megawatthours
2024-11-20T21,NY,New York,WAT,Hydro,2998,megawatthours
2024-11-20T20,NY,New York,WAT,Hydro,3003,megawatthours
2024-11-20T19,NY,New York,WAT,Hydro,2908,megawatthours
2024-11-20T18,NY,New York,WAT,Hydro,2892,megawatthours
2024-11-20T17,NY,New York,WAT,Hydro,2875,megawatthours
2024-11-20T16,NY,New York,WAT,Hydro,2911,megawatthours
2024-11-20T15,NY,New York,WAT,Hydro,3060,megawatthours
2024-11-20T14,NY,New York,WAT,Hydro,3128,megawatthours
2024-11-20T13,NY,New York,WAT,Hydro,3127,megawatthours
2024-11-20T12,NY,New York,WAT,Hydro,2343,megawatthours
2024-11-20T11,NY,New York,WAT,Hydro,1954,megawatthours
2024-11-20T10,NY,New York,WAT,Hydro,1725,megawatthours
2024-11-20T09,NY,New York,WAT,Hydro,1696,megawatthours
2024-11-20T08,NY,New York,WAT,Hydro,1636,megawatthours
2024-11-20T07,NY,New York,WAT,Hydro,1717,megawatthours
2024-11-20T06,NY,New York,WAT,Hydro,1776,megawatthours
2024-11-20T05,NY,New York,WAT,Hydro,1969,megawatthours
2024-11-20T04,NY,New York,WAT,Hydro,2634,megawatthours
2024-11-20T03,NY,New York,WAT,Hydro,2970,megawatthours
2024-11-20T02,NY,New York,WAT,Hydro,3172,megawatthours
2024-11-20T01,NY,New York,WAT,Hydro,3136,megawatthours
2024-11-20T00,NY,New York,WAT,Hydro,3394,megawatthours
2024-11-19T23,NY,New York,WAT,Hydro,3452,megawatthours
2024-11-19T22,NY,New York,WAT,Hydro,3306,megawatthours
2024-11-19T21,NY,New York,WAT,Hydro,3077,megawatthours
2024-11-19T20,NY,New York,WAT,Hydro,3025,megawatthours
2024-11-19T19,NY,New York,WAT,Hydro,2743,megawatthours
2024-11-19T18,NY,New York,WAT,Hydro,2674,megawatthours
2024-11-19T17,NY,New York,WAT,Hydro,2653,megawatthours
2024-11-19T16,NY,New York,WAT,Hydro,2703,megawatthours
2024-11-19T15,NY,New York,WAT,Hydro,2644,megawatthours
2024-11-19T14,NY,New York,WAT,Hydro,2693,megawatthours
2024-11-19T13,NY,New York,WAT,Hydro,2938,megawatthours
2024-11-19T12,NY,New York,WAT,Hydro,2300,megawatthours
2024-11-19T11,NY,New York,WAT,Hydro,2127,megawatthours
2024-11-19T10,NY,New York,WAT,Hydro,1890,megawatthours
2024-11-19T09,NY,New York,WAT,Hydro,1906,megawatthours
2024-11-19T08,NY,New York,WAT,Hydro,1899,megawatthours
2024-11-19T07,NY,New York,WAT,Hydro,2013,megawatthours
2024-11-19T06,NY,New York,WAT,Hydro,2042,megawatthours
2024-11-19T05,NY,New York,WAT,Hydro,1967,megawatthours
2024-11-19T04,NY,New York,WAT,Hydro,2645,megawatthours
2024-11-19T03,NY,New York,WAT,Hydro,2862,megawatthours
2024-11-19T02,NY,New York,WAT,Hydro,3122,megawatthours
2024-11-19T01,NY,New York,WAT,Hydro,3218,megawatthours
2024-11-19T00,NY,New York,WAT,Hydro,3503,megawatthours
2024-11-18T23,NY,New York,WAT,Hydro,3762,megawatthours
2024-11-18T22,NY,New York,WAT,Hydro,3200,megawatthours
2024-11-18T21,NY,New York,WAT,Hydro,2912,megawatthours
2024-11-18T20,NY,New York,WAT,Hydro,2846,megawatthours
2024-11-18T19,NY,New York,WAT,Hydro,2770,megawatthours
2024-11-18T18,NY,New York,WAT,Hydro,2734,megawatthours
2024-11-18T17,NY,New York,WAT,Hydro,2755,megawatthours
2024-11-18T16,NY,New York,WAT,Hydro,2815,megawatthours
2024-11-18T15,NY,New York,WAT,Hydro,3047,megawatthours
2024-11-18T14,NY,New York,WAT,Hydro,2990,megawatthours
2024-11-18T13,NY,New York,WAT,Hydro,3054,megawatthours
2024-11-18T12,NY,New York,WAT,Hydro,2488,megawatthours
2024-11-18T11,NY,New York,WAT,Hydro,1935,megawatthours
2024-11-18T10,NY,New York,WAT,Hydro,1771,megawatthours
2024-11-18T09,NY,New York,WAT,Hydro,1652,megawatthours
2024-11-18T08,NY,New York,WAT,Hydro,1789,megawatthours
2024-11-18T07,NY,New York,WAT,Hydro,1845,megawatthours
2024-11-18T06,NY,New York,WAT,Hydro,1844,megawatthours
2024-11-18T05,NY,New York,WAT,Hydro,1903,megawatthours
2024-11-18T04,NY,New York,WAT,Hydro,2669,megawatthours
2024-11-18T03,NY,New York,WAT,Hydro,2910,megawatthours
2024-11-18T02,NY,New York,WAT,Hydro,2987,megawatthours
2024-11-18T01,NY,New York,WAT,Hydro,3033,megawatthours
2024-11-18T00,NY,New York,WAT,Hydro,3192,megawatthours
2024-11-17T23,NY,New York,WAT,Hydro,3242,megawatthours
2024-11-17T22,NY,New York,WAT,Hydro,3077,megawatthours
2024-11-17T21,NY,New York,WAT,Hydro,2807,megawatthours
2024-11-17T20,NY,New York,WAT,Hydro,2684,megawatthours
2024-11-17T19,NY,New York,WAT,Hydro,2502,megawatthours
2024-11-17T18,NY,New York,WAT,Hydro,2474,megawatthours
2024-11-17T17,NY,New York,WAT,Hydro,2449,megawatthours
2024-11-17T16,NY,New York,WAT,Hydro,2493,megawatthours
2024-11-17T15,NY,New York,WAT,Hydro,2753,megawatthours
2024-11-17T14,NY,New York,WAT,Hydro,2693,megawatthours
2024-11-17T13,NY,New York,WAT,Hydro,2863,megawatthours
2024-11-17T12,NY,New York,WAT,Hydro,2190,megawatthours
2024-11-17T11,NY,New York,WAT,Hydro,1836,megawatthours
2024-11-17T10,NY,New York,WAT,Hydro,1839,megawatthours
2024-11-17T09,NY,New York,WAT,Hydro,1870,megawatthours
2024-11-17T08,NY,New York,WAT,Hydro,1836,megawatthours
2024-11-17T07,NY,New York,WAT,Hydro,1813,megawatthours
2024-11-17T06,NY,New York,WAT,Hydro,1893,megawatthours
2024-11-17T05,NY,New York,WAT,Hydro,1925,megawatthours
2024-11-17T04,NY,New York,WAT,Hydro,2711,megawatthours
2024-11-17T03,NY,New York,WAT,Hydro,2972,megawatthours
2024-11-17T02,NY,New York,WAT,Hydro,2998,megawatthours
2024-11-17T01,NY,New York,WAT,Hydro,3016,megawatthours
2024-11-17T00,NY,New York,WAT,Hydro,3131,megawatthours
2024-11-16T23,NY,New York,WAT,Hydro,3073,megawatthours
2024-11-16T22,NY,New York,WAT,Hydro,3049,megawatthours
2024-11-16T21,NY,New York,WAT,Hydro,2931,megawatthours
2024-11-16T20,NY,New York,WAT,Hydro,2767,megawatthours
2024-11-16T19,NY,New York,WAT,Hydro,2739,megawatthours
2024-11-16T18,NY,New York,WAT,Hydro,2785,megawatthours
2024-11-16T17,NY,New York,WAT,Hydro,2746,megawatthours
2024-11-16T16,NY,New York,WAT,Hydro,2647,megawatthours
2024-11-16T15,NY,New York,WAT,Hydro,2717,megawatthours
2024-11-16T14,NY,New York,WAT,Hydro,2673,megawatthours
2024-11-16T13,NY,New York,WAT,Hydro,2705,megawatthours
2024-11-16T12,NY,New York,WAT,Hydro,2264,megawatthours
2024-11-16T11,NY,New York,WAT,Hydro,1969,megawatthours
2024-11-16T10,NY,New York,WAT,Hydro,1852,megawatthours
2024-11-16T09,NY,New York,WAT,Hydro,1794,megawatthours
2024-11-16T08,NY,New York,WAT,Hydro,1763,megawatthours
2024-11-16T07,NY,New York,WAT,Hydro,1797,megawatthours
2024-11-16T06,NY,New York,WAT,Hydro,1802,megawatthours
2024-11-16T05,NY,New York,WAT,Hydro,1988,megawatthours
2024-11-16T04,NY,New York,WAT,Hydro,2743,megawatthours
2024-11-16T03,NY,New York,WAT,Hydro,3048,megawatthours
2024-11-16T02,NY,New York,WAT,Hydro,3344,megawatthours
2024-11-16T01,NY,New York,WAT,Hydro,3535,megawatthours
2024-11-16T00,NY,New York,WAT,Hydro,3507,megawatthours
2024-11-15T23,NY,New York,WAT,Hydro,3659,megawatthours
2024-11-15T22,NY,New York,WAT,Hydro,3492,megawatthours
2024-11-15T21,NY,New York,WAT,Hydro,3189,megawatthours
2024-11-15T20,NY,New York,WAT,Hydro,2984,megawatthours
2024-11-15T19,NY,New York,WAT,Hydro,2849,megawatthours
2024-11-15T18,NY,New York,WAT,Hydro,2840,megawatthours
2024-11-15T17,NY,New York,WAT,Hydro,2848,megawatthours
2024-11-15T16,NY,New York,WAT,Hydro,2870,megawatthours
2024-11-15T15,NY,New York,WAT,Hydro,2984,megawatthours
2024-11-15T14,NY,New York,WAT,Hydro,3106,megawatthours
2024-11-15T13,NY,New York,WAT,Hydro,3284,megawatthours
2024-11-15T12,NY,New York,WAT,Hydro,2558,megawatthours
2024-11-15T11,NY,New York,WAT,Hydro,2295,megawatthours
2024-11-15T10,NY,New York,WAT,Hydro,2018,megawatthours
2024-11-15T09,NY,New York,WAT,Hydro,1982,megawatthours
2024-11-15T08,NY,New York,WAT,Hydro,1977,megawatthours
2024-11-15T07,NY,New York,WAT,Hydro,2015,megawatthours
2024-11-15T06,NY,New York,WAT,Hydro,2039,megawatthours
2024-11-15T05,NY,New York,WAT,Hydro,2250,megawatthours
2024-11-15T04,NY,New York,WAT,Hydro,2889,megawatthours
2024-11-15T03,NY,New York,WAT,Hydro,3216,megawatthours
2024-11-15T02,NY,New York,WAT,Hydro,3244,megawatthours
2024-11-15T01,NY,New York,WAT,Hydro,3526,megawatthours
2024-11-15T00,NY,New York,WAT,Hydro,3790,megawatthours
2024-11-14T23,NY,New York,WAT,Hydro,3614,megawatthours
2024-11-14T22,NY,New York,WAT,Hydro,3478,megawatthours
2024-11-14T21,NY,New York,WAT,Hydro,3255,megawatthours
2024-11-14T20,NY,New York,WAT,Hydro,3174,megawatthours
2024-11-14T19,NY,New York,WAT,Hydro,3174,megawatthours
2024-11-14T18,NY,New York,WAT,Hydro,2991,megawatthours
2024-11-14T17,NY,New York,WAT,Hydro,2987,megawatthours
2024-11-14T16,NY,New York,WAT,Hydro,2981,megawatthours
2024-11-14T15,NY,New York,WAT,Hydro,2946,megawatthours
2024-11-14T14,NY,New York,WAT,Hydro,2987,megawatthours
2024-11-14T13,NY,New York,WAT,Hydro,3063,megawatthours
2024-11-14T12,NY,New York,WAT,Hydro,2535,megawatthours
2024-11-14T11,NY,New York,WAT,Hydro,2164,megawatthours
2024-11-14T10,NY,New York,WAT,Hydro,2125,megawatthours
2024-11-14T09,NY,New York,WAT,Hydro,2080,megawatthours
2024-11-14T08,NY,New York,WAT,Hydro,2037,megawatthours
2024-11-14T07,NY,New York,WAT,Hydro,2107,megawatthours
2024-11-14T06,NY,New York,WAT,Hydro,2040,megawatthours
2024-11-14T05,NY,New York,WAT,Hydro,2660,megawatthours
2024-11-14T04,NY,New York,WAT,Hydro,2889,megawatthours
2024-11-14T03,NY,New York,WAT,Hydro,3143,megawatthours
2024-11-14T02,NY,New York,WAT,Hydro,3440,megawatthours
2024-11-14T01,NY,New York,WAT,Hydro,3564,megawatthours
2024-11-14T00,NY,New York,WAT,Hydro,3808,megawatthours
2024-11-13T23,NY,New York,WAT,Hydro,3793,megawatthours
2024-11-13T22,NY,New York,WAT,Hydro,3733,megawatthours
2024-11-13T21,NY,New York,WAT,Hydro,3281,megawatthours
2024-11-13T20,NY,New York,WAT,Hydro,2863,megawatthours
2024-11-13T19,NY,New York,WAT,Hydro,2754,megawatthours
2024-11-13T18,NY,New York,WAT,Hydro,2766,megawatthours
2024-11-13T17,NY,New York,WAT,Hydro,2699,megawatthours
2024-11-13T16,NY,New York,WAT,Hydro,2765,megawatthours
2024-11-13T15,NY,New York,WAT,Hydro,2567,megawatthours
2024-11-13T14,NY,New York,WAT,Hydro,2910,megawatthours
2024-11-13T13,NY,New York,WAT,Hydro,3578,megawatthours
2024-11-13T12,NY,New York,WAT,Hydro,2860,megawatthours
2024-11-13T11,NY,New York,WAT,Hydro,2120,megawatthours
