period,value
2024-11-20T04,2634
2024-11-20T03,2970
2024-11-20T02,3172
2024-11-20T01,3136
2024-11-20T00,3394
2024-11-19T23,3452
2024-11-19T22,3306
2024-11-19T21,3077
2024-11-19T20,3025
2024-11-19T19,2743
2024-11-19T18,2674
2024-11-19T17,2653
2024-11-19T16,2703
2024-11-19T15,2644
2024-11-19T14,2693
2024-11-19T13,2938
2024-11-19T12,2300
2024-11-19T11,2127
2024-11-19T10,1890
2024-11-19T09,1906
2024-11-19T08,1899
2024-11-19T07,2013
2024-11-19T06,2042
2024-11-19T05,1967
2024-11-19T04,2645
2024-11-19T03,2862
2024-11-19T02,3122
2024-11-19T01,3218
2024-11-19T00,3503
2024-11-18T23,3762
2024-11-18T22,3200
2024-11-18T21,2912
2024-11-18T20,2846
2024-11-18T19,2770
2024-11-18T18,2734
2024-11-18T17,2755
2024-11-18T16,2815
2024-11-18T15,3047
2024-11-18T14,2990
2024-11-18T13,3054
2024-11-18T12,2488
2024-11-18T11,1935
2024-11-18T10,1771
2024-11-18T09,1652
2024-11-18T08,1789
2024-11-18T07,1845
2024-11-18T06,1844
2024-11-18T05,1903
2024-11-18T04,2669
2024-11-18T03,2910
2024-11-18T02,2987
2024-11-18T01,3033
2024-11-18T00,3192
2024-11-17T23,3242
2024-11-17T22,3077
2024-11-17T21,2807
2024-11-17T20,2684
2024-11-17T19,2502
2024-11-17T18,2474
2024-11-17T17,2449
2024-11-17T16,2493
2024-11-17T15,2753
2024-11-17T14,2693
2024-11-17T13,2863
2024-11-17T12,2190
2024-11-17T11,1836
2024-11-17T10,1839
2024-11-17T09,1870
2024-11-17T08,1836
2024-11-17T07,1813
2024-11-17T06,1893
2024-11-17T05,1925
2024-11-17T04,2711
2024-11-17T03,2972
2024-11-17T02,2998
2024-11-17T01,3016
2024-11-17T00,3131
2024-11-16T23,3073
2024-11-16T22,3049
2024-11-16T21,2931
2024-11-16T20,2767
2024-11-16T19,2739
2024-11-16T18,2785
2024-11-16T17,2746
2024-11-16T16,2647
2024-11-16T15,2717
2024-11-16T14,2673
2024-11-16T13,2705
2024-11-16T12,2264
2024-11-16T11,1969
2024-11-16T10,1852
2024-11-16T09,1794
2024-11-16T08,1763
2024-11-16T07,1797
2024-11-16T06,1802
2024-11-16T05,1988
2024-11-16T04,2743
2024-11-16T03,3048
2024-11-16T02,3344
2024-11-16T01,3535
2024-11-16T00,3507
2024-11-15T23,3659
2024-11-15T22,3492
2024-11-15T21,3189
2024-11-15T20,2984
2024-11-15T19,2849
2024-11-15T18,2840
2024-11-15T17,2848
2024-11-15T16,2870
2024-11-15T15,2984
2024-11-15T14,3106
2024-11-15T13,3284
2024-11-15T12,2558
2024-11-15T11,2295
2024-11-15T10,2018
2024-11-15T09,1982
2024-11-15T08,1977
2024-11-15T07,2015
2024-11-15T06,2039
2024-11-15T05,2250
2024-11-15T04,2889
2024-11-15T03,3216
2024-11-15T02,3244
2024-11-15T01,3526
2024-11-15T00,3790
2024-11-14T23,3614
2024-11-14T22,3478
2024-11-14T21,3255
2024-11-14T20,3174
2024-11-14T19,3174
2024-11-14T18,2991
2024-11-14T17,2987
2024-11-14T16,2981
2024-11-14T15,2946
2024-11-14T14,2987
2024-11-14T13,3063
2024-11-14T12,2535
2024-11-14T11,2164
2024-11-14T10,2125
2024-11-14T09,2080
2024-11-14T08,2037
2024-11-14T07,2107
2024-11-14T06,2040
2024-11-14T05,2660
2024-11-14T04,2889
2024-11-14T03,3143
2024-11-14T02,3440
2024-11-14T01,3564
2024-11-14T00,3808
2024-11-13T23,3793
2024-11-13T22,3733
2024-11-13T21,3281
2024-11-13T20,2863
2024-11-13T19,2754
2024-11-13T18,2766
2024-11-13T17,2699
2024-11-13T16,2765
2024-11-13T15,2567
2024-11-13T14,2910
2024-11-13T13,3578
2024-11-13T12,2860
2024-11-13T11,2120
2024-11-13T10,1949
2024-11-13T09,1917
2024-11-13T08,1968
2024-11-13T07,1985
2024-11-13T06,1951
2024-11-13T05,2040
2024-11-13T04,2792
2024-11-13T03,3074
2024-11-13T02,3249
2024-11-13T01,3357
2024-11-13T00,3333
2024-11-12T23,3674
2024-11-12T22,3283
2024-11-12T21,2760
2024-11-12T20,2604
2024-11-12T19,2590
2024-11-12T18,2572
2024-11-12T17,2576
2024-11-12T16,2587
2024-11-12T15,2603
2024-11-12T14,2728
2024-11-12T13,3119
2024-11-12T12,2429
2024-11-12T11,1921
2024-11-12T10,1658
2024-11-12T09,1679
2024-11-12T08,1677
2024-11-12T07,1731
2024-11-12T06,1873
2024-11-12T05,2149
2024-11-12T04,2730
2024-11-12T03,3108
2024-11-12T02,3258
2024-11-12T01,3890
2024-11-12T00,4031
2024-11-11T23,4067
2024-11-11T22,3964
2024-11-11T21,3229
2024-11-11T20,2975
2024-11-11T19,2963
2024-11-11T18,2934
2024-11-11T17,2966
2024-11-11T16,2921
2024-11-11T15,3120
2024-11-11T14,3120
2024-11-11T13,2824
2024-11-11T12,2370
2024-11-11T11,2014
2024-11-11T10,1858
2024-11-11T09,1879
2024-11-11T08,1910
2024-11-11T07,1988
2024-11-11T06,2092
2024-11-11T05,2159
2024-11-11T04,2413
2024-11-11T03,3061
2024-11-11T02,3130
2024-11-11T01,3247
2024-11-11T00,3456
2024-11-10T23,3419
2024-11-10T22,3246
2024-11-10T21,2909
2024-11-10T20,2883
2024-11-10T19,2807
2024-11-10T18,2455
2024-11-10T17,2493
2024-11-10T16,2749
2024-11-10T15,2836
2024-11-10T14,2992
2024-11-10T13,2582
2024-11-10T12,2275
2024-11-10T11,2159
2024-11-10T10,2167
2024-11-10T09,2304
2024-11-10T08,2287
2024-11-10T07,2187
2024-11-10T06,1776
2024-11-10T05,2101
2024-11-10T04,2381
2024-11-10T03,2846
2024-11-10T02,3115
2024-11-10T01,3246
2024-11-10T00,3283
2024-11-09T23,3453
2024-11-09T22,3167
2024-11-09T21,2763
2024-11-09T20,2613
2024-11-09T19,2525
2024-11-09T18,2546
2024-11-09T17,2478
2024-11-09T16,2388
2024-11-09T15,2460
2024-11-09T14,2403
2024-11-09T13,2314
2024-11-09T12,1972
2024-11-09T11,1687
2024-11-09T10,1623
2024-11-09T09,1640
2024-11-09T08,1592
2024-11-09T07,1603
2024-11-09T06,1606
2024-11-09T05,1872
2024-11-09T04,2620
2024-11-09T03,2820
2024-11-09T02,3026
2024-11-09T01,3317
2024-11-09T00,3479
2024-11-08T23,3546
2024-11-08T22,3327
2024-11-08T21,2971
2024-11-08T20,2808
2024-11-08T19,2724
2024-11-08T18,2610
2024-11-08T17,2628
2024-11-08T16,2704
2024-11-08T15,2673
2024-11-08T14,2684
2024-11-08T13,2705
2024-11-08T12,2236
2024-11-08T11,1868
2024-11-08T10,1791
2024-11-08T09,1798
2024-11-08T08,1708
2024-11-08T07,1772
2024-11-08T06,1859
2024-11-08T05,1971
2024-11-08T04,2555
2024-11-08T03,2938
2024-11-08T02,3190
2024-11-08T01,3245
2024-11-08T00,3495
2024-11-07T23,3683
2024-11-07T22,3651
2024-11-07T21,3332
2024-11-07T20,2933
2024-11-07T19,2785
2024-11-07T18,2773
2024-11-07T17,2835
2024-11-07T16,2900
2024-11-07T15,2981
2024-11-07T14,3091
2024-11-07T13,3025
2024-11-07T12,2408
2024-11-07T11,2039
2024-11-07T10,1948
2024-11-07T09,1936
2024-11-07T08,1905
2024-11-07T07,1938
2024-11-07T06,1973
2024-11-07T05,2147
2024-11-07T04,2591
2024-11-07T03,3133
2024-11-07T02,3442
2024-11-07T01,3873
2024-11-07T00,3932
2024-11-06T23,3893
2024-11-06T22,3814
2024-11-06T21,3583
2024-11-06T20,3446
2024-11-06T19,3252
2024-11-06T18,3048
2024-11-06T17,2911
2024-11-06T16,2720
2024-11-06T15,2690
2024-11-06T14,2740
2024-11-06T13,2846
2024-11-06T12,2176
2024-11-06T11,2030
2024-11-06T10,1958
2024-11-06T09,2000
2024-11-06T08,1941
2024-11-06T07,2149
2024-11-06T06,2188
2024-11-06T05,2505
2024-11-06T04,2653
2024-11-06T03,3001
2024-11-06T02,3033
2024-11-06T01,3537
2024-11-06T00,3764
2024-11-05T23,3840
2024-11-05T22,3681
2024-11-05T21,2924
2024-11-05T20,2763
2024-11-05T19,2630
2024-11-05T18,2484
2024-11-05T17,2636
2024-11-05T16,2659
2024-11-05T15,2997
2024-11-05T14,3098
2024-11-05T13,3130
2024-11-05T12,2909
2024-11-05T11,2754
2024-11-05T10,2545
2024-11-05T09,2567
2024-11-05T08,2612
2024-11-05T07,2651
2024-11-05T06,2811
2024-11-05T05,3026
2024-11-05T04,3183
2024-11-05T03,3290
2024-11-05T02,3572
2024-11-05T01,3679
2024-11-05T00,3798
2024-11-04T23,3680
2024-11-04T22,3517
2024-11-04T21,3209
2024-11-04T20,3114
2024-11-04T19,2951
2024-11-04T18,2920
2024-11-04T17,2856
2024-11-04T16,3009
2024-11-04T15,3011
2024-11-04T14,2869
2024-11-04T13,2945
2024-11-04T12,2399
2024-11-04T11,2067
2024-11-04T10,1870
2024-11-04T09,1814
2024-11-04T08,1806
2024-11-04T07,1889
2024-11-04T06,1914
2024-11-04T05,1948
2024-11-04T04,2336
2024-11-04T03,2609
2024-11-04T02,2990
2024-11-04T01,3200
2024-11-04T00,3518
2024-11-03T23,3480
2024-11-03T22,3209
2024-11-03T21,2836
2024-11-03T20,2488
2024-11-03T19,2060
2024-11-03T18,1985
2024-11-03T17,1946
2024-11-03T16,2170
2024-11-03T15,2336
2024-11-03T14,2343
2024-11-03T13,2634
2024-11-03T12,2183
2024-11-03T11,1883
2024-11-03T10,1960
2024-11-03T09,1966
2024-11-03T08,1909
2024-11-03T07,1915
2024-11-03T06,1900
2024-11-03T05,1929
2024-11-03T04,1992
2024-11-03T03,2582
2024-11-03T02,3114
2024-11-03T01,3279
2024-11-03T00,3580
2024-11-02T23,3565
2024-11-02T22,3273
2024-11-02T21,2906
2024-11-02T20,2716
2024-11-02T19,2701
2024-11-02T18,2800
2024-11-02T17,2781
2024-11-02T16,2830
2024-11-02T15,2723
2024-11-02T14,2638
2024-11-02T13,2724
2024-11-02T12,2729
2024-11-02T11,2255
2024-11-02T10,1999
2024-11-02T09,1952
2024-11-02T08,1936
2024-11-02T07,1964
2024-11-02T06,1913
2024-11-02T05,1938
2024-11-02T04,2005
2024-11-02T03,2749
2024-11-02T02,3357
2024-11-02T01,3665
2024-11-02T00,3735
2024-11-01T23,3787
2024-11-01T22,3726
2024-11-01T21,3575
2024-11-01T20,3562
2024-11-01T19,3386
2024-11-01T18,3388
2024-11-01T17,3374
2024-11-01T16,3426
2024-11-01T15,3431
2024-11-01T14,3290
2024-11-01T13,3289
2024-11-01T12,2695
2024-11-01T11,2170
2024-11-01T10,2117
2024-11-01T09,2031
2024-11-01T08,2037
2024-11-01T07,2017
2024-11-01T06,1979
2024-11-01T05,1947
2024-11-01T04,2088
2024-11-01T03,2287
2024-11-01T02,2779
2024-11-01T01,2812
2024-11-01T00,3094
2024-10-31T23,3233
2024-10-31T22,3235
2024-10-31T21,3045
2024-10-31T20,2985
2024-10-31T19,2886
2024-10-31T18,2911
2024-10-31T17,2979
2024-10-31T16,2892
2024-10-31T15,2862
2024-10-31T14,2870
2024-10-31T13,2956
2024-10-31T12,2685
2024-10-31T11,2181
2024-10-31T10,1927
2024-10-31T09,1853
2024-10-31T08,1893
2024-10-31T07,1902
2024-10-31T06,1926
2024-10-31T05,1931
2024-10-31T04,1898
2024-10-31T03,2102
2024-10-31T02,2336
2024-10-31T01,2593
2024-10-31T00,2805
2024-10-30T23,3143
2024-10-30T22,3099
2024-10-30T21,2699
2024-10-30T20,2602
2024-10-30T19,2436
2024-10-30T18,2485
2024-10-30T17,2313
2024-10-30T16,2480
2024-10-30T15,2299
2024-10-30T14,2380
2024-10-30T13,2385
2024-10-30T12,2694
2024-10-30T11,1990
2024-10-30T10,1951
2024-10-30T09,1744
2024-10-30T08,1798
2024-10-30T07,1717
2024-10-30T06,1762
2024-10-30T05,1780
2024-10-30T04,1919
2024-10-30T03,2054
2024-10-30T02,2212
2024-10-30T01,2279
2024-10-30T00,2718
2024-10-29T23,3240
2024-10-29T22,3215
2024-10-29T21,2479
2024-10-29T20,2315
2024-10-29T19,2652
2024-10-29T18,2767
2024-10-29T17,2823
2024-10-29T16,2576
2024-10-29T15,2194
2024-10-29T14,2182
2024-10-29T13,2211
2024-10-29T12,2757
2024-10-29T11,2261
2024-10-29T10,2017
2024-10-29T09,1838
2024-10-29T08,1779
2024-10-29T07,1782
2024-10-29T06,1798
2024-10-29T05,1796
2024-10-29T04,2061
2024-10-29T03,2424
2024-10-29T02,2676
2024-10-29T01,2911
2024-10-29T00,3273
2024-10-28T23,3291
2024-10-28T22,3443
2024-10-28T21,2788
2024-10-28T20,2493
2024-10-28T19,2445
2024-10-28T18,2400
2024-10-28T17,2378
2024-10-28T16,2322
2024-10-28T15,2466
2024-10-28T14,2671
2024-10-28T13,3033
2024-10-28T12,2979
2024-10-28T11,2416
2024-10-28T10,1949
2024-10-28T09,1884
2024-10-28T08,1743
2024-10-28T07,1770
2024-10-28T06,1735
2024-10-28T05,1800
2024-10-28T04,1952
2024-10-28T03,2618
2024-10-28T02,2972
2024-10-28T01,3214
2024-10-28T00,3475
2024-10-27T23,3661
2024-10-27T22,3292
2024-10-27T21,2801
2024-10-27T20,2527
2024-10-27T19,2532
2024-10-27T18,2370
2024-10-27T17,2214
2024-10-27T16,2197
2024-10-27T15,2221
2024-10-27T14,2318
2024-10-27T13,2492
2024-10-27T12,2575
2024-10-27T11,2096
2024-10-27T10,1867
2024-10-27T09,1794
2024-10-27T08,1793
2024-10-27T07,1787
2024-10-27T06,1838
2024-10-27T05,1882
2024-10-27T04,1903
2024-10-27T03,2377
2024-10-27T02,2649
2024-10-27T01,2963
2024-10-27T00,3076
2024-10-26T23,3098
2024-10-26T22,2754
2024-10-26T21,2570
2024-10-26T20,2410
2024-10-26T19,2324
2024-10-26T18,2265
2024-10-26T17,2197
2024-10-26T16,2134
2024-10-26T15,2178
2024-10-26T14,2122
2024-10-26T13,2383
2024-10-26T12,2475
2024-10-26T11,2122
2024-10-26T10,1866
2024-10-26T09,1749
2024-10-26T08,1706
2024-10-26T07,1802
2024-10-26T06,1833
2024-10-26T05,1782
2024-10-26T04,2186
2024-10-26T03,2663
2024-10-26T02,2947
2024-10-26T01,3097
2024-10-26T00,3570
2024-10-25T23,3705
2024-10-25T22,3433
2024-10-25T21,2987
2024-10-25T20,2733
2024-10-25T19,2743
2024-10-25T18,2607
2024-10-25T17,2504
2024-10-25T16,2373
2024-10-25T15,2378
2024-10-25T14,2496
2024-10-25T13,3055
2024-10-25T12,3249
2024-10-25T11,2378
2024-10-25T10,2032
2024-10-25T09,1954
2024-10-25T08,1925
2024-10-25T07,1919
2024-10-25T06,1893
2024-10-25T05,1901
2024-10-25T04,2158
2024-10-25T03,2502
2024-10-25T02,2819
2024-10-25T01,3058
2024-10-25T00,3191
2024-10-24T23,3334
2024-10-24T22,3220
2024-10-24T21,2869
2024-10-24T20,2535
2024-10-24T19,2369
2024-10-24T18,2336
2024-10-24T17,2350
2024-10-24T16,2340
2024-10-24T15,2390
2024-10-24T14,2689
2024-10-24T13,3123
2024-10-24T12,3119
2024-10-24T11,2533
2024-10-24T10,2167
2024-10-24T09,2075
2024-10-24T08,2045
2024-10-24T07,2045
2024-10-24T06,2115
2024-10-24T05,2120
2024-10-24T04,2173
2024-10-24T03,2694
2024-10-24T02,3110
2024-10-24T01,3006
2024-10-24T00,3248
2024-10-23T23,3072
2024-10-23T22,3185
2024-10-23T21,3096
2024-10-23T20,2750
2024-10-23T19,2456
2024-10-23T18,2428
2024-10-23T17,2314
2024-10-23T16,2331
2024-10-23T15,2369
2024-10-23T14,2573
2024-10-23T13,2592
2024-10-23T12,2502
2024-10-23T11,2071
2024-10-23T10,1772
2024-10-23T09,1716
2024-10-23T08,1869
2024-10-23T07,1957
2024-10-23T06,1930
2024-10-23T05,1972
2024-10-23T04,1812
2024-10-23T03,2088
2024-10-23T02,2415
2024-10-23T01,2650
2024-10-23T00,3268
2024-10-22T23,3436
2024-10-22T22,3317
2024-10-22T21,2894
2024-10-22T20,2532
2024-10-22T19,2532
2024-10-22T18,2499
2024-10-22T17,2431
2024-10-22T16,2427
2024-10-22T15,2335
2024-10-22T14,2187
2024-10-22T13,2619
2024-10-22T12,2657
2024-10-22T11,2213
2024-10-22T10,1990
2024-10-22T09,1845
2024-10-22T08,1765
2024-10-22T07,1757
2024-10-22T06,1836
2024-10-22T05,1781
2024-10-22T04,2021
2024-10-22T03,2424
2024-10-22T02,2733
2024-10-22T01,3036
2024-10-22T00,3416
2024-10-21T23,3627
2024-10-21T22,3571
2024-10-21T21,3108
2024-10-21T20,2762
2024-10-21T19,2725
2024-10-21T18,2692
2024-10-21T17,2657
2024-10-21T16,2716
2024-10-21T15,2738
2024-10-21T14,2693
2024-10-21T13,2704
2024-10-21T12,2572
2024-10-21T11,2274
2024-10-21T10,2137
2024-10-21T09,1929
2024-10-21T08,1958
2024-10-21T07,1989
2024-10-21T06,1789
2024-10-21T05,1826
2024-10-21T04,1866
2024-10-21T03,2156
2024-10-21T02,2244
2024-10-21T01,2391
2024-10-21T00,2699
2024-10-20T23,2904
2024-10-20T22,2760
2024-10-20T21,2721
2024-10-20T20,2446
2024-10-20T19,2337
2024-10-20T18,2207
2024-10-20T17,2040
2024-10-20T16,2019
2024-10-20T15,2141
2024-10-20T14,2123
2024-10-20T13,2257
2024-10-20T12,2308
2024-10-20T11,2055
2024-10-20T10,1895
2024-10-20T09,1774
2024-10-20T08,1755
2024-10-20T07,1810
2024-10-20T06,1847
2024-10-20T05,1897
2024-10-20T04,1909
2024-10-20T03,2222
2024-10-20T02,2517
2024-10-20T01,2695
2024-10-20T00,2877
2024-10-19T23,3000
2024-10-19T22,2815
2024-10-19T21,2664
2024-10-19T20,2481
2024-10-19T19,2401
2024-10-19T18,2246
2024-10-19T17,2213
2024-10-19T16,2117
2024-10-19T15,2194
2024-10-19T14,2207
2024-10-19T13,2707
2024-10-19T12,2774
2024-10-19T11,2252
2024-10-19T10,2032
2024-10-19T09,1918
2024-10-19T08,1897
2024-10-19T07,1749
2024-10-19T06,1822
2024-10-19T05,1948
2024-10-19T04,1863
2024-10-19T03,2154
2024-10-19T02,2816
2024-10-19T01,3190
2024-10-19T00,3480
2024-10-18T23,3472
2024-10-18T22,2941
2024-10-18T21,2729
2024-10-18T20,2532
2024-10-18T19,2387
2024-10-18T18,2253
2024-10-18T17,2264
2024-10-18T16,2229
2024-10-18T15,2276
2024-10-18T14,2363
2024-10-18T13,3143
2024-10-18T12,3345
2024-10-18T11,2394
2024-10-18T10,2146
2024-10-18T09,2052
2024-10-18T08,2010
2024-10-18T07,1890
2024-10-18T06,1926
2024-10-18T05,1843
2024-10-18T04,1831
2024-10-18T03,2182
2024-10-18T02,2627
2024-10-18T01,3038
2024-10-18T00,3153
2024-10-17T23,3345
2024-10-17T22,3448
2024-10-17T21,2790
2024-10-17T20,2490
2024-10-17T19,2285
2024-10-17T18,2275
2024-10-17T17,2257
2024-10-17T16,2326
2024-10-17T15,2375
2024-10-17T14,2627
2024-10-17T13,3245
2024-10-17T12,3476
2024-10-17T11,2620
2024-10-17T10,2076
2024-10-17T09,1910
2024-10-17T08,1766
2024-10-17T07,1833
2024-10-17T06,1811
2024-10-17T05,1894
2024-10-17T04,1674
2024-10-17T03,1939
2024-10-17T02,2370
2024-10-17T01,2643
2024-10-17T00,2941
2024-10-16T23,2982
2024-10-16T22,2890
2024-10-16T21,2272
2024-10-16T20,2081
2024-10-16T19,2012
2024-10-16T18,2094
2024-10-16T17,2055
2024-10-16T16,2091
2024-10-16T15,2179
2024-10-16T14,2188
2024-10-16T13,2293
2024-10-16T12,2389
2024-10-16T11,1900
2024-10-16T10,1761
2024-10-16T09,1630
2024-10-16T08,1614
2024-10-16T07,1689
2024-10-16T06,1622
2024-10-16T05,1659
2024-10-16T04,2061
2024-10-16T03,2396
2024-10-16T02,3189
2024-10-16T01,3548
2024-10-16T00,3834
2024-10-15T23,4012
2024-10-15T22,3754
2024-10-15T21,3044
2024-10-15T20,2851
2024-10-15T19,2749
2024-10-15T18,2761
2024-10-15T17,2869
2024-10-15T16,2993
2024-10-15T15,2953
2024-10-15T14,2883
2024-10-15T13,3493
2024-10-15T12,3524
2024-10-15T11,2769
2024-10-15T10,2156
2024-10-15T09,2010
2024-10-15T08,1791
2024-10-15T07,1793
2024-10-15T06,1742
2024-10-15T05,1891
2024-10-15T04,2155
2024-10-15T03,2655
2024-10-15T02,3150
2024-10-15T01,3400
2024-10-15T00,3586
2024-10-14T23,3812
2024-10-14T22,3629
2024-10-14T21,3361
2024-10-14T20,3064
2024-10-14T19,2833
2024-10-14T18,3063
2024-10-14T17,2981
2024-10-14T16,2897
2024-10-14T15,2827
2024-10-14T14,3025
2024-10-14T13,2838
2024-10-14T12,2777
2024-10-14T11,2178
2024-10-14T10,1977
2024-10-14T09,1737
2024-10-14T08,1708
2024-10-14T07,1757
2024-10-14T06,1812
2024-10-14T05,1911
2024-10-14T04,2247
2024-10-14T03,2570
2024-10-14T02,3001
2024-10-14T01,2915
2024-10-14T00,3113
2024-10-13T23,3373
2024-10-13T22,3069
2024-10-13T21,2552
2024-10-13T20,2905
2024-10-13T19,2958
2024-10-13T18,2917
2024-10-13T17,2733
2024-10-13T16,2695
2024-10-13T15,2809
2024-10-13T14,2905
2024-10-13T13,2779
2024-10-13T12,2482
2024-10-13T11,2095
